778  3
-0.058311  0.009043  0.033913
-0.063000  0.007594  0.034005
-0.067986  0.007060  0.032953
-0.066608  0.004870  0.035470
-0.056051  0.010422  0.030220
-0.062404  0.008827  0.029672
-0.062118  0.008310  0.025488
-0.067551  0.007842  0.025299
-0.068039  0.008499  0.029054
-0.057854  0.009702  0.026229
-0.053952  0.010991  0.030151
-0.070525  0.004612  0.033025
-0.070657  0.006901  0.031849
-0.070884  0.007543  0.028565
-0.072744  0.005078  0.028474
-0.052117  0.004268  0.037419
-0.060534  0.003381  0.036832
-0.065933  0.001795  0.034720
-0.069903  0.001875  0.032324
-0.060671  -0.000232  0.034802
-0.065216  -0.000448  0.032913
-0.068501  -0.000548  0.030471
-0.060724  -0.002762  0.031354
-0.064889  -0.002091  0.030206
-0.048604  -0.002253  0.032869
-0.048968  0.000404  0.036266
-0.067453  -0.002048  0.029355
-0.072386  0.002952  0.027662
-0.060159  0.006946  0.022674
-0.066919  0.005448  0.023124
-0.059661  0.004955  0.021469
-0.066408  0.003610  0.021591
-0.071245  0.005439  0.023857
-0.070313  0.007115  0.025663
-0.044313  -0.002242  0.032263
-0.044634  -0.003057  0.026582
-0.048430  -0.003267  0.026822
-0.060444  -0.003588  0.026695
-0.049756  -0.001816  0.022836
-0.053250  0.002875  0.020783
-0.060232  0.002105  0.021072
-0.060235  -0.001099  0.022270
-0.065451  0.001162  0.021758
-0.064833  -0.000859  0.023260
-0.064934  -0.002675  0.026614
-0.069073  0.000617  0.023550
-0.070541  0.003267  0.023271
-0.070368  0.000223  0.027049
-0.067616  -0.000742  0.024012
-0.068027  -0.001185  0.026934
-0.034861  -0.000073  0.001237
-0.034207  -0.001106  -0.004953
-0.028827  -0.000529  -0.003132
-0.030004  0.000480  0.002036
-0.034984  0.013570  0.003493
-0.035416  0.007811  0.005474
-0.031104  0.009041  0.006487
-0.030281  0.014679  0.003123
-0.033930  0.016283  -0.002385
-0.028634  0.016619  -0.002668
-0.025492  0.015757  0.003979
-0.025675  0.009366  0.007222
-0.004387  0.008503  0.010318
-0.004624  0.015418  0.007572
-0.001472  -0.002900  -0.003463
-0.002677  0.000196  -0.005645
-0.035363  0.002888  0.004108
-0.030870  0.003964  0.005224
-0.022903  0.001039  -0.010412
-0.023356  -0.002393  -0.006201
-0.028682  -0.000415  -0.008030
-0.028443  0.003592  -0.011730
-0.002251  -0.000154  0.008346
-0.000885  -0.002378  0.002479
-0.003791  0.003369  0.009922
-0.022815  0.007392  -0.012206
-0.023013  0.013996  -0.010405
-0.003759  0.015078  -0.006763
-0.004021  0.008462  -0.008763
-0.025717  0.003624  0.006982
-0.024202  -0.002741  -0.000766
-0.025030  -0.001101  0.003945
-0.023921  0.017144  -0.002987
-0.028588  0.014341  -0.010130
-0.046068  0.009635  -0.013198
-0.033753  0.009438  -0.012993
-0.034098  0.004321  -0.012568
-0.047152  0.004837  -0.014046
-0.028549  0.009169  -0.012873
-0.033405  0.014257  -0.009475
-0.050293  -0.001150  -0.002577
-0.049833  -0.001800  -0.008594
-0.050450  0.001617  0.000932
-0.004006  0.018341  0.000355
-0.047252  0.011337  0.001610
-0.049272  0.005271  0.002701
-0.034102  0.000095  -0.009936
-0.048915  0.000674  -0.012612
-0.045602  0.013170  -0.010335
-0.044966  0.014924  -0.003646
-0.050954  0.012507  -0.010432
-0.050902  0.013889  -0.004359
-0.053167  0.010436  0.001118
-0.054460  0.004943  0.001824
-0.054676  0.001402  0.000050
-0.051623  0.009543  -0.013365
-0.052715  0.005087  -0.014652
-0.052425  0.000538  -0.012569
-0.058484  0.008513  -0.014752
-0.059467  0.011685  -0.011931
-0.074007  0.007246  -0.002837
-0.068315  0.008072  -0.001469
-0.068506  0.010058  -0.003197
-0.073769  0.009533  -0.004517
-0.062663  0.010657  -0.000892
-0.064203  0.011375  -0.002914
-0.062072  0.012609  -0.006714
-0.067735  0.011293  -0.007772
-0.066085  0.010744  -0.012297
-0.071584  0.010964  -0.013627
-0.073454  0.011752  -0.009156
-0.062491  0.012092  -0.010487
-0.076850  0.009437  -0.006339
-0.078302  0.007253  -0.006428
-0.059332  0.013182  -0.005796
-0.059222  0.005777  0.001286
-0.068304  0.005034  -0.001042
-0.074398  0.004075  -0.003487
-0.078467  0.004684  -0.008107
-0.068411  0.001439  -0.003135
-0.074185  0.001624  -0.005557
-0.077214  0.002643  -0.009501
-0.068014  -0.001393  -0.006836
-0.073524  -0.000447  -0.009159
-0.056875  -0.001430  -0.003972
-0.058031  0.001250  -0.000201
-0.075608  0.000997  -0.010281
-0.078770  0.009361  -0.010847
-0.078993  0.006147  -0.012041
-0.077416  0.010508  -0.010188
-0.065523  0.009857  -0.014123
-0.071674  0.009338  -0.015260
-0.065257  0.007787  -0.015933
-0.072152  0.007392  -0.016653
-0.076280  0.009321  -0.014957
-0.076092  0.010510  -0.013638
-0.053679  -0.000891  -0.003530
-0.052750  -0.001348  -0.008914
-0.055596  -0.001889  -0.009341
-0.066750  -0.001445  -0.011771
-0.055312  0.000465  -0.013401
